tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,23,201386,,,Jie Zheng,R,164,CHN,28.49555099,48,1145,201512,8,,Monica Niculescu,R,168,ROU,24.27104723,30,1715,6-0 6-2,3,R16,,1,2,42,30,20,7,,1,2,0,1,40,26,11,2,,2,8
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,24,201556,,,Lucie Hradecka,R,177,CZE,26.61738535,52,1116,201397,2,,Shuai Peng,R,173,CHN,25.98220397,17,2800,6-4 6-3,3,R16,,8,2,55,28,24,15,,5,6,4,6,62,39,29,8,,4,8
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,25,201493,,,Angelique Kerber,L,173,GER,23.95619439,32,1621,201513,1,,Sabine Lisicki,R,178,GER,22.27789185,15,2879,6-4 4-3 RET,3,QF,,1,6,55,31,21,10,,2,5,1,2,50,32,17,5,,2,6
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,26,201355,4,,Flavia Pennetta,R,172,ITA,29.85078713,20,2490,201455,,,Elena Vesnina,R,176,RUS,25.42094456,57,1105,6-2 6-1,3,QF,,1,4,41,23,17,10,,1,2,1,5,63,44,23,4,,7,13
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,27,201320,3,,Svetlana Kuznetsova,R,174,RUS,26.51608487,19,2606,201506,,,Sara Errani,R,164,ITA,24.678987,45,1190,6-4 6-3,3,QF,,8,0,54,22,17,20,,5,7,0,1,53,30,18,10,,2,6
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,28,201386,,,Jie Zheng,R,164,CHN,28.49555099,48,1145,201556,,,Lucie Hradecka,R,177,CZE,26.61738535,52,1116,6-2 6-3,3,QF,,0,2,46,32,25,11,,0,0,4,3,49,22,17,9,,3,6
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,29,201355,4,,Flavia Pennetta,R,172,ITA,29.85078713,20,2490,201493,,,Angelique Kerber,L,173,GER,23.95619439,32,1621,6-1 6-2,3,SF,,2,0,42,18,12,18,,3,3,1,5,54,28,16,8,,2,7
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,30,201386,,,Jie Zheng,R,164,CHN,28.49555099,48,1145,201320,3,,Svetlana Kuznetsova,R,174,RUS,26.51608487,19,2606,2-6 6-3 6-3,3,SF,,1,1,102,71,40,13,,12,17,5,1,90,57,30,17,,6,12
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,31,201386,,,Jie Zheng,R,164,CHN,28.49555099,48,1145,201355,4,,Flavia Pennetta,R,172,ITA,29.85078713,20,2490,2-6 6-3 2-0 RET,3,F,,0,2,70,53,30,8,,2,5,1,2,61,39,24,9,,6,9
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,1,201518,1,,Yanina Wickmayer,R,182,BEL,22.22039699,29,1880,201523,,,Marina Erakovic,R,174,NZL,23.84394251,61,991,7-5 6-4,3,R32,,2,6,76,51,37,10,,2,4,3,1,75,46,29,11,,2,6
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,2,201348,,WC,Casey Dellacqua,L,,AUS,26.90759754,135,498,201448,,,Galina Voskoboeva,R,183,KAZ,27.05817933,55,1108,7-5 4-6 6-4,3,R32,,0,3,121,76,42,25,,10,16,3,3,92,53,35,15,,2,9
2012-W-INT-AUS-01A-2012,Hobart,Hard,32,I,20120109,4,201593,8,,Irina Camelia Begu,R,181,ROU,21.37166324,41,1313,201304,,,Elena Baltacha,R,,GBR,28.40520192,53,1120,6-2 7-5,3,R32,,4,4,64,46,33,4,,5,8,0,1,59,39,20,7,,0,6
